Source data: /Users/nancyhd/Documents/Logomatic/Outputs/LOG01.bin
ADC, Accel X, Accel Y, Accel Z
1813,-0.1494,1.999,-0.9463
1813,-0.1455,1.999,-0.9414
1813,-0.1406,1.999,-0.9521
1812,-0.1494,1.999,-0.9395
1813,-0.1455,1.999,-0.9453
1812,-0.1416,1.999,-0.9531
1813,-0.1406,1.999,-0.9502
1813,-0.1406,1.999,-0.9414
1812,-0.1426,1.999,-0.9551
1812,-0.1445,1.999,-0.9531
1811,-0.1445,1.999,-0.9453
1813,-0.1406,1.999,-0.9414
1812,-0.1455,1.999,-0.9502
1812,-0.1553,1.999,-0.9453
1812,-0.1221,1.999,-0.9502
1813,-0.1494,1.999,-0.9531
1812,-0.1416,1.999,-0.9473
1812,-0.1475,1.999,-0.9473
1813,-0.1406,1.999,-0.9473
1812,-0.1416,1.999,-0.9473
1813,-0.1426,1.999,-0.9463
1814,-0.1455,1.999,-0.9463
1813,-0.1445,1.999,-0.9453
1812,-0.1504,1.999,-0.9453
1812,-0.1416,1.999,-0.9473
1812,-0.1484,1.999,-0.9453
1813,-0.1416,1.999,-0.9473
1813,-0.1445,1.999,-0.9521
1813,-0.1484,1.999,-0.9473
1813,-0.1533,1.999,-0.9453
1812,-0.1328,1.999,-0.9619
1813,-0.1602,1.999,-0.9531
1813,-0.1416,1.999,-0.9453
1812,-0.1533,1.999,-0.9424
1813,-0.1416,1.999,-0.9443
1813,-0.1406,1.999,-0.9453
